"","filename","trialID","director","speaker","trial_value","trial_start","trial_end","trial_length","sign_start","sign_end","sign_length","sign_value","sign_notes","iconic","signOrigin","T0Check","CandidateUnderstanding","TryMarked","Indexicality","Teach","T_minus_1","T0","week","session","part1","part2","originalSignLabel","speakerName","inventedBy","IX","OS","LW","SE","freq_week_1_total","freq_week_4_total","freq_week4_withinColour","prop_week4_withinColour"
"91","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,1,"24",166464,226582,60118,180783,183480,2697,"FLOWER","LW",NA,NA,TRUE,"Yes",FALSE,"no",FALSE,FALSE,TRUE,1,"1","Jordan","India","FLOWER","Jordan","Indonesia",FALSE,FALSE,TRUE,FALSE,24,7,0,0
"63","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,184604,185747,1143,"IX:LIP","IX",NA,NA,FALSE,"No",TRUE,"Yes-body",TRUE,FALSE,FALSE,1,"1","Jordan","India","lip","India","India",TRUE,FALSE,FALSE,FALSE,1,0,0,0
"64","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,185747,186451,704,"RED(MOUTH)","OS",NA,NA,FALSE,"No",FALSE,"Yes-body",TRUE,FALSE,FALSE,1,"1","Jordan","India","RED(mouth)","India","Nepal",FALSE,TRUE,FALSE,FALSE,26,14,0,0
"65","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,186457,186988,531,"LIPSTICK",NA,NA,NA,FALSE,"No",FALSE,"yes",TRUE,FALSE,FALSE,1,"1","Jordan","India","LIPSTICK","India","India",FALSE,FALSE,FALSE,FALSE,2,0,0,0
"66","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,186992,187171,179,"RED(MOUTH)","OS",NA,NA,FALSE,"No",FALSE,"Yes-body",TRUE,FALSE,FALSE,1,"1","Jordan","India","RED(mouth)","India","Nepal",FALSE,TRUE,FALSE,FALSE,26,14,0,0
"67","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,187171,187381,210,"SIGNING",NA,NA,NA,FALSE,"No",FALSE,"no",TRUE,FALSE,FALSE,1,"1","Jordan","India","SIGNING","India","India",FALSE,FALSE,FALSE,FALSE,6,1,0,0
"68","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,187640,187991,351,"RED(MOUTH)","OS",NA,NA,FALSE,"No",FALSE,"Yes-body",TRUE,FALSE,FALSE,1,"1","Jordan","India","RED(mouth)","India","Nepal",FALSE,TRUE,FALSE,FALSE,26,14,0,0
"69","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,188132,188294,162,"SIGNING",NA,NA,NA,FALSE,"No",FALSE,"no",TRUE,FALSE,FALSE,1,"1","Jordan","India","SIGINING","India","India",FALSE,FALSE,FALSE,FALSE,6,1,0,0
"70","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,188423,189127,704,"IX:TONGUE","IX",NA,NA,FALSE,"No",TRUE,"Yes-body",TRUE,FALSE,FALSE,1,"1","Jordan","India","tongue","India","India",TRUE,FALSE,FALSE,FALSE,14,3,0,0
"71","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,189248,189581,333,"SIGNING",NA,NA,NA,FALSE,"No",FALSE,"no",TRUE,FALSE,FALSE,1,"1","Jordan","India","SIGNING","India","India",FALSE,FALSE,FALSE,FALSE,6,1,0,0
"72","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,189621,190294,673,"IX:TONGUE","IX",NA,NA,FALSE,"No",FALSE,"Yes-body",TRUE,FALSE,FALSE,1,"1","Jordan","India","tongue","India","India",TRUE,FALSE,FALSE,FALSE,14,3,0,0
"74","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,190891,191409,518,"IX:TONGUE","IX",NA,NA,FALSE,"No",FALSE,"Yes-body",FALSE,FALSE,FALSE,1,"1","Jordan","India","tongue","India","India",TRUE,FALSE,FALSE,FALSE,14,3,0,0
"75","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,192461,195418,2957,"FLOWER","LW",NA,NA,FALSE,"No",TRUE,"no",FALSE,FALSE,FALSE,1,"1","Jordan","India","FLOWER","India","Indonesia",FALSE,FALSE,TRUE,FALSE,24,7,0,0
"92","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,1,"24",166464,226582,60118,193740,194093,353,"FLOWER","LW",NA,NA,TRUE,"No",FALSE,"no",FALSE,FALSE,TRUE,1,"1","Jordan","India","FLOWER","Jordan","Indonesia",FALSE,FALSE,TRUE,FALSE,24,7,0,0
"93","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,1,"24",166464,226582,60118,194135,195214,1079,"SIGNING",NA,NA,NA,TRUE,"No",FALSE,"no",FALSE,FALSE,TRUE,1,"1","Jordan","India","SIGN","Jordan","India",FALSE,FALSE,FALSE,FALSE,6,1,0,0
